vertical,operator,homepage,endpoint,benchmark_role,journey_mode,mode_scope,confidence,evidence,notes
dentistry_orthodontics,Smiles by Dr. P,https://www.smilesbydrp.com/,https://www.smilesbydrp.com/smile-inquiry.html,core,contact_only,site,high,live_endpoint,"Multi-step smile inquiry and preferred-date form; no explicit staff-confirmation or scheduling-follow-up promise"
dentistry_orthodontics,LA Smiles Dental Spa,https://www.lasmiles.com/,https://www.lasmiles.com/request-an-appointment/,core,indeterminate,site,medium,live_endpoint,"Page distinguishes in-office and virtual consultation requests, but the completion flow and inventory were not inspectable"
dentistry_orthodontics,The Practice Beverly Hills,https://thepracticebh.com/,https://app.nexhealth.com/appt/thepracticebh?lid=351504,core,booked_consultation,service,high,live_flow,"NexHealth exposed a cosmetic-consultation type, named provider, date, and live times including 9:00 AM and 11:00 AM; treatment was not booked"
dentistry_orthodontics,Neo Dental,https://neodentalbh.com/,https://book2.getweave.com/0bee8680-6af3-4510-aa6d-a867395d3c2f/request-appointment?source=WEBSITE,core,indeterminate,site,low,unavailable_endpoint,"Weave endpoint label suggested a request, but the rendered body and completion promise were unavailable"
dentistry_orthodontics,Zakhor Dental Group,https://www.zakhordental.com/,https://www.zakhordental.com/appointment/,core,appointment_request,site,high,live_endpoint,"Page says staff will call or text within two business hours to confirm the preferred date"
dentistry_orthodontics,Beverly Hills Cosmetic Dentistry,https://www.beverlyhillscosmeticdentistry.com/,https://www.beverlyhillscosmeticdentistry.com/dentist-appointment/,core,indeterminate,site,low,unavailable_endpoint,"Request-an-appointment page embeds an external form; the form semantics and completion promise were not inspectable"
dentistry_orthodontics,Kevin Sands DDS,https://www.beverlyhillscosmeticdentist.com/,https://www.beverlyhillscosmeticdentist.com/appointment-request/,core,contact_only,site,high,live_endpoint,"Form asks for three preferred dates and time, but no explicit staff-confirmation or scheduling-follow-up promise was observed"
dentistry_orthodontics,Top Beverly Hills Dentist,https://topbeverlyhillsdentist.com/,https://topbeverlyhillsdentist.com/contact-us/,core,contact_only,site,high,live_endpoint,"Contact form captures procedure, decision stage, and best time to reach the patient but makes no scheduling promise"
dentistry_orthodontics,Beverly Hills Dental Arts,https://bhdentalarts.com/,https://bhdentalarts.com/contact/,core,contact_only,site,high,live_endpoint,"Book Now resolves to a generic contact form without availability or a scheduling promise"
dentistry_orthodontics,Dr. Jon Marashi,https://www.drmarashi.com/,https://www.drmarashi.com/contact,core,contact_only,site,high,live_endpoint,"Page promises a call within one business day, but no preferred-availability or other scheduling payload was observed"
dentistry_orthodontics,McComb Orthodontics,https://mccomborthodontics.com/,https://mccomborthodontics.com/#,core,indeterminate,site,low,unavailable_endpoint,"Free-consult controls are embedded on the homepage; the completion flow was not inspectable"
dentistry_orthodontics,Beverly Hills Orthodontics,https://beverlyhillsortho.com/,https://beverlyhillsortho.com/lp/free-consult/,core,appointment_request,location,high,live_endpoint,"Explicit disclaimer: selected day and time are a request and do not guarantee the slot"
dentistry_orthodontics,Alpan Orthodontics,https://aeortho.com/,https://aeortho.com/schedule-a-consultation/,core,contact_only,site,high,live_endpoint,"Complimentary-consultation page exposes a name/email/phone lead form without availability or a confirmation promise"
dentistry_orthodontics,Playa Orthodontics,https://www.playaorthodontics.com/,https://www.playaorthodontics.com/,contrast,integrity_failure,site,high,live_homepage,"Appointment request form was present, but the homepage also rendered unrelated gambling-casino copy"
dentistry_orthodontics,The Orthospaceship,https://theorthospaceship.com/,https://theorthospaceship.com/,contrast,unavailable,site,high,live_homepage,"EGO Lite returned a browser error page; excluded from all denominators"
medspa_aesthetics,Cienega Medical,https://cienegaspa.com/,https://cienegaspa.com/book/,core,confirmed_appointment,service_location_provider,high,live_flow,"HydraFacial flow exposed treatment price, multiple locations, provider IDs, and live 15-minute appointment slots"
medspa_aesthetics,Skinsation LA,https://skinsationla.com/,https://book.skinsationla.com/widget/service-menus/main-menu-skinsation,core,booked_consultation,service_provider,high,live_flow,"Verified flow exposed a virtual-consultation duration and deposit, staff assignment, date picker, timezone, and available times; treatment inventory was not verified"
medspa_aesthetics,Stoker Aesthetics,https://www.drstoker.com/stoker-aesthetics-med-spa/,https://www.mypatientvisit.com/onlinescheduling/#/scheduler/schedule?practiceid=CJVTJF,core,indeterminate,site,low,unavailable_endpoint,"Homepage claims self-scheduling, but the external scheduler rendered no inspectable content"
medspa_aesthetics,Skin Works Medical Spa,https://skinworksmed.com/,https://skinworksmed.appointlet.com/,core,appointment_request,service,high,live_endpoint,"Scheduler explicitly warns requested times are not guaranteed until staff confirms"
medspa_aesthetics,SkinLab Santa Monica,https://www.skinlab-la.com/,https://mysite.vagaro.com/skinlabsantamonica/all-services,core,indeterminate,site,low,broken_endpoint,"Vagaro page rendered placeholder business-copy text and no inspectable service-to-slot path"
medspa_aesthetics,Hush LA,https://www.hushla.net/,https://www.hushla.net/book-appointment/,core,indeterminate,site,medium,live_endpoint,"Calendar was visible, but no available times or completion promise were exposed"
medspa_aesthetics,My Botox LA,https://www.mybotoxla.com/,https://www.mybotoxla.com/contact,core,contact_only,site,high,live_endpoint,"Page instructs visitors to call, text, or email and collects contact details without availability or a staff confirmation promise"
medspa_aesthetics,Rejuvify MedSpa,https://www.rejuvifymedspa.com/,https://www.rejuvifymedspa.com/contact-us,core,contact_only,site,high,live_endpoint,"Booking and inquiries page is a generic contact form without availability or a scheduling promise"
medspa_aesthetics,me.losangeles,https://www.melosangeles.com/,https://jmnox.myaestheticrecord.com/online-booking,core,indeterminate,service_provider,medium,identity_gated,"Aesthetic Record exposes multi-service and staff selection, but availability is gated after selection"
medspa_aesthetics,Dr Refresh,https://drrefresh.com/,https://www.joinblvd.com/b/drrefresh/widget,core,indeterminate,service_provider,medium,identity_gated,"Boulevard exposes service cart, first-available provider, and appointment management, but identity is required before times"
medspa_aesthetics,LA Beauty Skin Center,https://labeautyskincenter.com/,https://labeautyskincenter.com/appointments/,core,appointment_request,service_location,high,live_endpoint,"Page states staff will contact the patient within 24 hours to discuss the request"
medspa_aesthetics,LA-Mi Spa,https://www.lamispa.com/,https://app.joinmoxie.com/booking/la-mi-spa,core,indeterminate,service_provider,medium,identity_gated,"Moxie exposes priced services and duration, but live provider/date/time inventory was not observed"
medspa_aesthetics,Sculpt DTLA,https://sculptdtla.com/,https://www.joinblvd.com/b/sculpt-dtla/widget#/locations,core,indeterminate,location_service_provider,medium,identity_gated,"Boulevard begins with location selection and exposes appointment management, but identity is required before times"
medspa_aesthetics,Bliss Point Medical Spa,https://www.blisspointmedspa.com/,https://www.blisspointmedspa.com/,contrast,contact_only,site,high,live_homepage,"Book Now remains on a single-page contact form without verified availability or a scheduling-follow-up promise; useful low-maturity contrast"
medspa_aesthetics,SkinSpirit Beverly Hills,https://www.skinspirit.com/locations/beverly-hills,https://booking.skinspirit.com/webstoreNew/services/9a289e79-b594-4d38-82b4-b62f84166afc,boundary,indeterminate,location_service,medium,live_endpoint,"National operator excluded from local denominator; service catalog loaded but displayed a Something went wrong heading"
physical_therapy_sports_rehab,Elite Performance Clinic,https://www.epcla.com/,https://www.epcla.com/booking,core,appointment_request,service,high,live_endpoint,"Form asks for preferred days and up to three times; page says the team will confirm by phone or email"
physical_therapy_sports_rehab,Prehab 2 Perform,https://www.prehab2perform.com/,https://book.gettimely.com/Booking/Location/43576?mobile=True,core,confirmed_appointment,service_provider,high,live_flow,"Timely exposed initial evaluation, named clinician, selectable date, and a 9:15 AM slot"
physical_therapy_sports_rehab,SportsFit PT,https://sportsfitpt.com/,https://sportsfitpt.com/request-an-appointment/,core,appointment_request,service_location,high,live_endpoint,"Page says staff will contact the visitor about scheduling and captures preferred date/time"
physical_therapy_sports_rehab,Athletic Lab PT,https://athleticlabpt.com/,https://athleticlabpt.com/contact-us/,core,booked_consultation,site,high,live_endpoint,"HubSpot calendar books a free phone consultation; this is not the treatment appointment"
physical_therapy_sports_rehab,Victory Performance PT,https://www.victoryperformancept.com/,https://www.victoryperformancept.com/free-initial-consult,core,indeterminate,site,medium,unavailable_endpoint,"Consult page embeds an external form whose scheduling semantics were not inspectable"
physical_therapy_sports_rehab,HYC Physical Therapy,https://www.hycphysio.com/,https://www.hycphysio.com/contact-us-discovery-call,core,contact_only,site,high,live_endpoint,"Free discovery call begins with a generic contact form and no availability or response promise"
physical_therapy_sports_rehab,Forged PT,https://www.forgedptp.com/,https://www.forgedptp.com/contact,core,booked_consultation,site,high,live_endpoint,"HubSpot calendar books the required first-step phone consultation; care is scheduled later"
physical_therapy_sports_rehab,VERT Sports Therapy,https://vertsportstherapy.com/,https://vertsportstherapy.com/schedule,core,contact_only,service,high,live_endpoint,"Physical-therapy acquisition uses generic request-info/contact channels; small-group training advertises live reservation but its inventory was not verified and remains a router candidate"
physical_therapy_sports_rehab,Pogson Physical Therapy,https://pogsonpt.com/,https://pogsonpt.com/,core,contact_only,site,high,live_homepage,"Only phone, email, and address were available"
physical_therapy_sports_rehab,MOTI Physiotherapy,https://motipt.com/,https://motipt.com/appointments/,core,appointment_request,service_location,high,live_endpoint,"Administrator follows up after collecting insurance, referral, location, visit type, and preferred availability"
physical_therapy_sports_rehab,Sports Rehab LA,https://www.sportsrehabla.com/,https://www.sportsrehabla.com/contact-us,core,contact_only,location,high,live_endpoint,"Site instructs visitors to call to book or send a general inquiry"
physical_therapy_sports_rehab,Zenith Performance PT,https://www.zenithperformancept.com/,https://app.pteverywhere.com/zenithperformancept/bookingonline,core,indeterminate,site,low,unavailable_endpoint,"PtEverywhere loaded only an Online Booking shell; service and slot inventory were not inspectable"
physical_therapy_sports_rehab,Evolution Physical Therapy,https://www.evolutionphysicaltherapy.com/,https://www.evolutionphysicaltherapy.com/request-an-appointment/,boundary,appointment_request,location_service,high,live_endpoint,"Multi-state operator excluded from local denominator; three-step form submits a visit request"
physical_therapy_sports_rehab,Aspire Physical Therapy,https://aspirept.com/,https://aspirept.com/,contrast,unavailable,site,high,live_homepage,"Domain redirected to a domain-sale page; excluded from all denominators"
