vertical,operator,hero,primary_action,practitioner_authority,service_or_concern_router,explicit_results_gallery,process_or_method,third_party_proof,pricing_financing_or_insurance,faq_policy_or_safety,location_contact,observed_order
dentistry_orthodontics,Smiles by Dr. P,1,1,1,1,1,1,1,1,1,1,"hero>authority>results>services>faq>action>location"
dentistry_orthodontics,LA Smiles Dental Spa,1,1,1,1,1,1,0,1,0,1,"hero>authority>process>services>action>location"
dentistry_orthodontics,The Practice Beverly Hills,1,1,1,1,1,0,1,0,0,1,"hero>authority>press>facility>results>reviews>location"
dentistry_orthodontics,Neo Dental,1,1,1,1,0,1,1,0,1,1,"hero>services>method>reviews>facility>faq>action>location"
dentistry_orthodontics,Zakhor Dental Group,1,1,1,1,1,1,1,1,0,1,"hero>experience>services>results>authority>facility>method>action>location"
dentistry_orthodontics,Beverly Hills Cosmetic Dentistry,1,1,1,1,1,1,1,1,0,1,"hero>services>authority>method>results>reviews>action>location"
dentistry_orthodontics,Kevin Sands DDS,1,1,1,1,0,1,0,0,0,1,"hero>authority>method>services>action>location"
dentistry_orthodontics,Top Beverly Hills Dentist,1,1,1,1,1,0,1,0,0,1,"hero>authority>results>services>action>location"
dentistry_orthodontics,Beverly Hills Dental Arts,1,1,1,1,1,0,1,0,1,1,"hero>authority>services>method>media>results>faq>action>location"
dentistry_orthodontics,Dr. Jon Marashi,1,1,1,1,1,1,1,0,1,1,"hero>point-of-view>authority>objections>proof>process>services>faq>action>location"
dentistry_orthodontics,McComb Orthodontics,1,1,1,1,0,1,1,1,1,1,"hero>locations>reviews>authority>method>cost-and-insurance>faq>action"
dentistry_orthodontics,Beverly Hills Orthodontics,1,1,1,1,1,1,1,1,0,1,"hero>brand-story>authority>audience>treatments>process>reviews>financing>locations"
dentistry_orthodontics,Alpan Orthodontics,1,1,1,1,0,1,1,1,1,1,"hero>differentiators>services>mission>authority>locations>faq>process>reviews>action"
medspa_aesthetics,Cienega Medical,1,1,1,1,0,0,1,0,0,1,"hero>medical-team>choice-proof>reviews>locations>action"
medspa_aesthetics,Skinsation LA,1,1,1,1,0,1,1,1,1,1,"hero>metrics>concern-router>treatments>providers>method>membership>faq>action>location"
medspa_aesthetics,Stoker Aesthetics,1,1,1,1,0,1,0,1,0,1,"hero>philosophy>treatments>membership>process>action>location"
medspa_aesthetics,Skin Works Medical Spa,1,1,1,1,0,1,1,1,1,1,"hero>clinical-standards>pricing>services>authority>protocols>locations>action"
medspa_aesthetics,SkinLab Santa Monica,1,1,1,1,0,1,1,1,0,1,"hero>services>consultation>membership>team>science>choice-proof>action>location"
medspa_aesthetics,Hush LA,1,1,0,1,1,0,0,1,0,1,"hero>services>pricing>gallery>action>location"
medspa_aesthetics,My Botox LA,1,1,1,1,0,1,1,1,1,1,"hero>consultation>services>reviews>choice-proof>policy>action>location"
medspa_aesthetics,Rejuvify MedSpa,1,1,1,1,0,1,0,1,0,1,"membership>hero>services>authority>consultation-help>action>location"
medspa_aesthetics,me.losangeles,1,1,0,1,0,0,0,0,0,1,"hero>about>services>action>location"
medspa_aesthetics,Dr Refresh,1,1,1,1,1,0,1,1,0,1,"hero>service-router>results>positioning>reviews>membership-and-payment>action>location"
medspa_aesthetics,LA Beauty Skin Center,1,1,1,1,1,0,1,1,0,1,"hero>offers>authority>laser-focus>reviews>locations>request>action"
medspa_aesthetics,LA-Mi Spa,1,1,1,1,0,1,1,0,0,1,"hero>services>authority>method>reviews>action>location"
medspa_aesthetics,Sculpt DTLA,1,1,0,1,1,0,0,1,1,1,"navigation>hero>services>results>membership>policy>action>locations"
physical_therapy_sports_rehab,Elite Performance Clinic,1,1,1,1,0,1,1,1,1,1,"hero>services>method>process>proof>request>faq>action>location"
physical_therapy_sports_rehab,Prehab 2 Perform,1,1,1,1,1,1,1,1,1,1,"hero>programs>consultation>condition-router>authority>results>process>admin>action>location"
physical_therapy_sports_rehab,SportsFit PT,1,1,1,1,0,1,1,1,1,1,"hero>services>method>clinical-model>proof>admin>action>locations"
physical_therapy_sports_rehab,Athletic Lab PT,1,1,1,1,0,1,1,0,1,1,"hero>method>process>services>team>reviews>faq>action>location"
physical_therapy_sports_rehab,Victory Performance PT,1,1,1,1,0,1,1,0,0,1,"hero>method>services>testimonials>team>action>location"
physical_therapy_sports_rehab,HYC Physical Therapy,1,1,1,1,0,0,1,0,1,1,"hero>method>reviews>one-to-one-model>faq>action>location"
physical_therapy_sports_rehab,Forged PT,1,1,1,1,0,1,0,0,0,1,"hero>method>services>differentiators>process>team>action>locations"
physical_therapy_sports_rehab,VERT Sports Therapy,1,1,1,1,0,0,1,0,0,1,"hero>service-pillars>athlete-positioning>reviews>action>location"
physical_therapy_sports_rehab,Pogson Physical Therapy,0,0,0,1,0,0,0,0,0,1,"about>contact>services"
physical_therapy_sports_rehab,MOTI Physiotherapy,1,1,1,1,0,1,1,1,1,1,"locations>actions>insurance>authority>method>services>audiences>reviews>request"
physical_therapy_sports_rehab,Sports Rehab LA,1,1,0,1,0,0,1,0,0,1,"hero>audiences>benefits>techniques>client-proof>action>locations"
physical_therapy_sports_rehab,Zenith Performance PT,1,1,0,1,0,1,1,0,0,1,"offer>hero>method>process>testimonials>action>location"
